"No.","Time","Source","Destination","Protocol","Length","Info"
"12939","554.554892293","127.0.0.1","127.0.0.1","CoAP","48","ACK, MID:389, Empty Message"
"12999","557.807757624","134.102.218.18","10.0.2.15","CoAP","67","ACK, MID:60217, 4.04 Not Found (text/plain), TKN:b6 bb 5b 59 d0 43 c9 14, /weird"
"13003","557.931772786","127.0.0.1","127.0.0.1","CoAP","56","ACK, MID:39477, 4.04 Not Found, TKN:36 92 f1 40 59 b0 19 d9, /living_room"
"13007","557.979612426","134.102.218.18","10.0.2.15","CoAP","83","ACK, MID:6403, 4.05 Method Not Allowed (text/plain), TKN:c9 89 db 8a 64 1a 7d 0e, /4"
"13009","558.586192992","127.0.0.1","127.0.0.1","CoAP","48","ACK, MID:391, Empty Message"
"13157","568.991736210","127.0.0.1","127.0.0.1","CoAP","56","ACK, MID:52719, 4.04 Not Found, TKN:90 ba 9c 68 c9 11 02 22, /living_room"
"13187","570.969274890","134.102.218.18","10.0.2.15","CoAP","83","ACK, MID:56877, 4.05 Method Not Allowed (text/plain), TKN:ee 65 77 3f c6 8e be 55, /seg1"
"13203","572.957367059","134.102.218.18","10.0.2.15","CoAP","72","ACK, MID:54342, 2.05 Content (text/plain), TKN:61 41 33 79 50 eb 47 ab, /sink"
"13231","573.779899456","127.0.0.1","127.0.0.1","CoAP","56","ACK, MID:28210, 4.04 Not Found, TKN:df 23 9e 2e 0a 62 41 b3, /dining_room"
"13243","574.821732371","134.102.218.18","10.0.2.15","CoAP","83","ACK, MID:16441, 4.05 Method Not Allowed (text/plain), TKN:93 60 6d 2b c7 9b 7a 7d, /weird"
"13303","580.356321074","127.0.0.1","127.0.0.1","CoAP","56","ACK, MID:44263, 4.05 Method Not Allowed, TKN:0c 4a 70 a3 b1 24 39 1a, /living_room/temperature"
"13344","583.013264931","127.0.0.1","127.0.0.1","CoAP","56","ACK, MID:14632, 4.05 Method Not Allowed, TKN:ad 9e c5 5b bc cd 71 cd, /hello_world"
"13364","584.829697139","134.102.218.18","10.0.2.15","CoAP","83","ACK, MID:29889, 4.05 Method Not Allowed (text/plain), TKN:8d 59 7e 0e 7b 43 6e 57, /hello"
"13441","590.941593030","127.0.0.1","127.0.0.1","CoAP","56","ACK, MID:2253, 4.05 Method Not Allowed, TKN:7f de da 4a 36 78 0f 1e, /hello_world"
"13482","594.012961182","134.102.218.18","10.0.2.15","CoAP","83","ACK, MID:36993, 4.05 Method Not Allowed (text/plain), TKN:f3 fc 60 e5 0d b2 76 5a, /seg1"
"13484","594.068084022","127.0.0.1","127.0.0.1","CoAP","56","ACK, MID:25470, 4.04 Not Found, TKN:2f 27 fd c6 3c dc cc 30, /living_room/door"
"13505","595.893694223","127.0.0.1","127.0.0.1","CoAP","56","ACK, MID:53136, 4.05 Method Not Allowed, TKN:81 63 d2 ed 8a ab 32 d5, /living_room/temperature321"
"13521","597.721992343","127.0.0.1","127.0.0.1","CoAP","56","ACK, MID:7659, 4.05 Method Not Allowed, TKN:f7 22 71 24 ff d9 47 05, /living_room/temperature"
"13558","600.037829689","127.0.0.1","127.0.0.1","CoAP","56","ACK, MID:47598, 4.05 Method Not Allowed, TKN:e0 3b 8b 13 e9 f8 c0 f1, /hello_post"
"13638","606.810644435","127.0.0.1","127.0.0.1","CoAP","56","ACK, MID:6551, 4.05 Method Not Allowed, TKN:24 cd 69 82 b5 50 8e 40, /hello_world"
"13676","609.808935944","127.0.0.1","127.0.0.1","CoAP","56","ACK, MID:61545, 4.05 Method Not Allowed, TKN:57 0a 2e cd b7 2f 3f 2b"
"13678","610.060380688","127.0.0.1","127.0.0.1","CoAP","56","ACK, MID:52175, 4.05 Method Not Allowed, TKN:32 d1 0a dc d8 83 3f 0c, /living_room/temperature"
"13694","612.214105080","127.0.0.1","127.0.0.1","CoAP","56","ACK, MID:29555, 4.05 Method Not Allowed, TKN:a7 8f f7 4c e5 bb b8 bf, /living_room/temperature"
"13722","613.545373609","127.0.0.1","127.0.0.1","CoAP","56","ACK, MID:40630, 4.05 Method Not Allowed, TKN:bb 8f 3b 5d c4 37 77 15, /living_room/temperature"
"13827","620.567159899","127.0.0.1","127.0.0.1","CoAP","56","ACK, MID:6589, 4.05 Method Not Allowed, TKN:ab e6 91 f7 0f a1 95 16, /living_room/temperature"
"13841","621.547048787","127.0.0.1","127.0.0.1","CoAP","56","ACK, MID:30759, 4.05 Method Not Allowed, TKN:29 07 14 8f b1 68 ab f8, /living_room/temperature"
"13847","621.960839028","127.0.0.1","127.0.0.1","CoAP","56","ACK, MID:8393, 4.05 Method Not Allowed, TKN:a2 98 b9 3e 59 cd 04 a3, /living_room/temperature"
"13851","622.546927885","127.0.0.1","127.0.0.1","CoAP","56","ACK, MID:14342, 4.05 Method Not Allowed, TKN:3f 2a 9e 16 d0 f4 93 14, /living_room/temperature"
"13884","623.072289051","127.0.0.1","127.0.0.1","CoAP","56","ACK, MID:7805, 4.05 Method Not Allowed, TKN:39 2d 04 3b ec 68 bd f4, /living_room/temperature"
"13888","623.171469241","134.102.218.18","10.0.2.15","CoAP","95","ACK, MID:61726, 2.01 Created (text/plain), TKN:cd 3b e7 62 1b d5 49 4e, /validate"
"13894","623.426955529","127.0.0.1","127.0.0.1","CoAP","56","ACK, MID:21174, 4.05 Method Not Allowed, TKN:d0 16 db 46 b3 51 0c a4, /living_room/temperature"
"13896","623.785702623","127.0.0.1","127.0.0.1","CoAP","56","ACK, MID:25946, 4.05 Method Not Allowed, TKN:ea 64 2b 05 bf fc 55 80, /living_room/temperature"
"13930","627.144673837","134.102.218.18","10.0.2.15","CoAP","83","ACK, MID:50903, 4.05 Method Not Allowed (text/plain), TKN:ee 6b 31 c9 0c 88 99 08, /3"
"13946","628.931203198","134.102.218.18","10.0.2.15","CoAP","83","ACK, MID:30872, 4.05 Method Not Allowed (text/plain), TKN:21 e3 8f 7e 5f 7a 8c 2a, /broken"
"14039","634.668056664","127.0.0.1","127.0.0.1","CoAP","56","ACK, MID:56226, 4.05 Method Not Allowed, TKN:49 03 40 29 cb 2a 20 09, /living_room/temperature"
"14049","636.017563543","127.0.0.1","127.0.0.1","CoAP","56","ACK, MID:2135, 4.04 Not Found, TKN:4a e5 b4 8a 0b 77 de 72, /basic"
