"No.","Time","Source","Destination","Protocol","Length","Info"
"8849","287.237379825","10.0.2.15","5.196.78.28","MQTT","217","Publish Message [university/building3/floor4/hydraulic_valve]"
"8935","290.137531622","10.0.2.15","5.196.78.28","MQTT","96","Publish Message [university/building3/floor4/deposit]"
"8953","292.521944415","10.0.2.15","5.196.78.28","MQTT","201","Publish Message [metaverse/department2/area3]"
"8961","293.210264293","10.0.2.15","5.196.78.28","MQTT","194","Publish Message [hospital/room2/floor4]"
"8987","294.379117238","10.0.2.15","5.196.78.28","MQTT","214","Publish Message [metaverse/department2/section1/pollution]"
"8991","294.543912493","10.0.2.15","5.196.78.28","MQTT","200","Publish Message [hospital/department2/floor4]"
"9098","296.477354500","10.0.2.15","5.196.78.28","MQTT","198","Publish Message [hospital/facility3/area3]"
"9102","296.809825021","10.0.2.15","5.196.78.28","MQTT","87","Publish Message [factory/facility3/section1]"
"9201","299.328353885","10.0.2.15","5.196.78.28","MQTT","206","Publish Message [university/facility3/area3/light]"
"9219","300.273396992","10.0.2.15","5.196.78.28","MQTT","74","Publish Message [factory/room2]"
"9223","300.854047208","10.0.2.15","5.196.78.28","MQTT","198","Publish Message [metaverse/facility3/room2]"
"9290","302.828679267","10.0.2.15","5.196.78.28","MQTT","79","Publish Message [factory/room2/room2]"
"9304","303.684264840","10.0.2.15","5.196.78.28","MQTT","78","Publish Message [factory/facility3]"
"9360","307.116639780","10.0.2.15","5.196.78.28","MQTT","211","Publish Message [hospital/department2/area3/temperature]"
"9379","309.814793078","10.0.2.15","5.196.78.28","MQTT","190","Publish Message [factory/facility3]"
"9393","311.188609781","10.0.2.15","5.196.78.28","MQTT","201","Publish Message [metaverse/building3/section1]"
"9413","312.888918724","10.0.2.15","5.196.78.28","MQTT","202","Publish Message [university/department2/floor4]"
"9449","314.766713711","10.0.2.15","5.196.78.28","MQTT","210","Publish Message [hospital/facility3/area3/temperature]"
"9458","315.377836584","10.0.2.15","5.196.78.28","MQTT","192","Publish Message [metaverse/facility3]"
"9462","316.678128978","10.0.2.15","5.196.78.28","MQTT","190","Publish Message [factory/facility3]"
"9474","317.864624311","10.0.2.15","5.196.78.28","MQTT","192","Publish Message [factory/room2/room2]"
"9476","317.961803407","10.0.2.15","5.196.78.28","MQTT","204","Publish Message [metaverse/department2/section1]"
"9484","318.638475872","10.0.2.15","5.196.78.28","MQTT","215","Publish Message [metaverse/facility3/room2/hydraulic_valve]"
"9492","319.385339707","10.0.2.15","5.196.78.28","MQTT","195","Publish Message [metaverse/department2]"
"9514","322.484334731","10.0.2.15","5.196.78.28","MQTT","191","Publish Message [factory/facility3]"
"9562","324.204689119","10.0.2.15","5.196.78.28","MQTT","191","Publish Message [hospital/building3]"
"9570","325.419202474","10.0.2.15","5.196.78.28","MQTT","202","Publish Message [hospital/room2/area3/deposit]"
"9574","325.723534230","10.0.2.15","5.196.78.28","MQTT","215","Publish Message [metaverse/department2/section1/pollution]"
"9642","329.114297878","10.0.2.15","5.196.78.28","MQTT","215","Publish Message [university/facility3/area3/hydraulic_valve]"
"9660","329.708361435","10.0.2.15","5.196.78.28","MQTT","200","Publish Message [hospital/department2/area3]"
"9662","330.494777353","10.0.2.15","5.196.78.28","MQTT","204","Publish Message [university/room2/area3/deposit]"
"9682","333.733235256","10.0.2.15","5.196.78.28","MQTT","96","Publish Message [university/building3/section1/light]"
"9684","334.133971671","10.0.2.15","5.196.78.28","MQTT","79","Publish Message [metaverse/facility3]"
"9686","334.146780974","10.0.2.15","5.196.78.28","MQTT","215","Publish Message [university/room2/section1/hydraulic_valve]"
"9694","335.328783971","10.0.2.15","5.196.78.28","MQTT","187","Publish Message [factory/room2]"
"9788","338.796153710","10.0.2.15","5.196.78.28","MQTT","192","Publish Message [hospital/building3]"
"9810","341.686819453","10.0.2.15","5.196.78.28","MQTT","197","Publish Message [factory/facility3/floor4]"
"9834","342.421840923","10.0.2.15","5.196.78.28","MQTT","201","Publish Message [hospital/department2/floor4]"
"9838","342.878307104","10.0.2.15","5.196.78.28","MQTT","206","Publish Message [university/room2/area3/pollution]"
"9850","344.323297895","10.0.2.15","5.196.78.28","MQTT","197","Publish Message [factory/building3/area3]"
"9965","350.175779667","10.0.2.15","5.196.78.28","MQTT","193","Publish Message [university/building3]"
"9975","352.068886400","10.0.2.15","5.196.78.28","MQTT","187","Publish Message [factory/room2]"
"9989","353.861945289","10.0.2.15","5.196.78.28","MQTT","200","Publish Message [university/facility3/floor4]"
"9995","355.145116355","10.0.2.15","5.196.78.28","MQTT","191","Publish Message [hospital/facility3]"
"10017","356.674184916","10.0.2.15","5.196.78.28","MQTT","201","Publish Message [university/department2/room2]"
"10063","358.538907296","10.0.2.15","5.196.78.28","MQTT","188","Publish Message [hospital/room2]"
"10066","358.818467145","10.0.2.15","5.196.78.28","MQTT","213","Publish Message [university/building3/section1/pollution]"
"10068","359.061131960","10.0.2.15","5.196.78.28","MQTT","190","Publish Message [factory/facility3]"
"10090","361.729877566","10.0.2.15","5.196.78.28","MQTT","193","Publish Message [metaverse/facility3]"
"10092","361.853342246","10.0.2.15","5.196.78.28","MQTT","187","Publish Message [factory/room2]"
"10096","362.691209456","10.0.2.15","5.196.78.28","MQTT","208","Publish Message [university/room2/room2/temperature]"
"10110","363.737447563","10.0.2.15","5.196.78.28","MQTT","208","Publish Message [factory/department2/room2/pollution]"
"10128","365.342501691","10.0.2.15","5.196.78.28","MQTT","199","Publish Message [university/building3/area3]"
"10144","366.259768460","10.0.2.15","5.196.78.28","MQTT","80","Publish Message [factory/department2]"
"10183","367.161636302","10.0.2.15","5.196.78.28","MQTT","200","Publish Message [hospital/department2/area3]"
"10196","367.803326370","10.0.2.15","5.196.78.28","MQTT","191","Publish Message [factory/facility3]"
"10217","370.283422888","10.0.2.15","5.196.78.28","MQTT","201","Publish Message [university/room2/area3/light]"
"10280","373.590348441","10.0.2.15","5.196.78.28","MQTT","189","Publish Message [metaverse/room2]"
"10297","375.507726054","10.0.2.15","5.196.78.28","MQTT","210","Publish Message [factory/department2/floor4/pollution]"
"10348","377.729099846","10.0.2.15","5.196.78.28","MQTT","197","Publish Message [hospital/building3/area3]"
"10369","379.777577659","10.0.2.15","5.196.78.28","MQTT","87","Publish Message [hospital/department2/floor4]"
"10390","381.529733771","10.0.2.15","5.196.78.28","MQTT","198","Publish Message [metaverse/building3/area3]"
"10436","385.452658486","10.0.2.15","5.196.78.28","MQTT","215","Publish Message [metaverse/building3/area3/hydraulic_valve]"
"10529","388.505395984","10.0.2.15","5.196.78.28","MQTT","206","Publish Message [metaverse/room2/area3/temperature]"
"10543","389.055188757","10.0.2.15","5.196.78.28","MQTT","198","Publish Message [metaverse/room2/section1]"
"10621","393.327539133","10.0.2.15","5.196.78.28","MQTT","86","Publish Message [factory/facility3/section1]"
"10623","393.504586322","10.0.2.15","5.196.78.28","MQTT","211","Publish Message [metaverse/facility3/section1/humidity]"
"10625","393.533541305","10.0.2.15","5.196.78.28","MQTT","204","Publish Message [factory/building3/room2/deposit]"
"10641","396.115160764","10.0.2.15","5.196.78.28","MQTT","206","Publish Message [hospital/facility3/area3/deposit]"
"10649","396.954659054","10.0.2.15","5.196.78.28","MQTT","218","Publish Message [university/facility3/section1/hydraulic_valve]"
"10651","397.154901038","10.0.2.15","5.196.78.28","MQTT","204","Publish Message [hospital/room2/room2/pollution]"
